Type,Year,County,Population,Incidence,Legend
Neuroinvasive disease cases,1999-2022,01001,55229,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,01003,186579,0.40,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,01005,27344,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01007,22736,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01011,10680,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,01013,20867,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01015,117767,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01017,34016,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01021,43682,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01029,14928,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01031,50449,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01033,54545,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01035,13194,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01039,38023,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01041,13894,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01043,80419,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01045,50134,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01047,43254,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,01051,80005,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01053,38211,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01055,104356,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01057,17061,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01059,31776,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01061,26758,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,01067,17377,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01069,102509,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01071,53240,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01073,658175,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01077,92615,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01081,144194,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01083,85553,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01089,339623,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01091,20663,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01093,30661,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01095,93899,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01097,413126,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,01099,22799,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01101,229218,0.76,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,01103,120058,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01107,19357,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01113,54884,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01117,197968,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01119,13491,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,01121,81875,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,01125,196788,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,01131,11438,0.73,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,01133,24362,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,02020,296693,0.01,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,04001,72181,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,04003,133124,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,04005,134309,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,04007,53445,1.17,>1.10
Neuroinvasive disease cases,1999-2022,04009,37129,1.91,>1.10
Neuroinvasive disease cases,1999-2022,04011,8587,0.49,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,04012,20606,1.21,>1.10
Neuroinvasive disease cases,1999-2022,04013,3875371,2.06,>1.10
Neuroinvasive disease cases,1999-2022,04015,202888,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,04017,107560,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,04019,988500,0.97,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,04021,378114,1.81,>1.10
Neuroinvasive disease cases,1999-2022,04023,47640,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,04025,211081,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,04027,202881,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05001,18915,0.88,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05003,21678,0.38,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05007,229208,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05009,37093,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05011,11432,5.10,>1.10
Neuroinvasive disease cases,1999-2022,05015,27478,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05017,11706,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05019,22937,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05021,15876,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05023,25888,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05025,8673,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05027,24707,1.69,>1.10
Neuroinvasive disease cases,1999-2022,05029,21127,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05031,98420,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05033,61816,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05035,50517,0.82,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05041,12726,0.98,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05043,18735,1.78,>1.10
Neuroinvasive disease cases,1999-2022,05045,116307,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05051,96884,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05057,22498,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05063,36887,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05065,13579,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05069,76039,2.08,>1.10
Neuroinvasive disease cases,1999-2022,05071,25683,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05073,7528,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05075,17281,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05079,14344,0.87,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05081,12949,0.64,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05083,22241,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05085,69537,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05089,16676,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05091,43777,1.05,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05093,45988,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05099,9007,0.46,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05103,25738,0.49,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05107,21407,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05115,62694,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05119,387081,0.51,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05121,17972,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05123,27934,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,05125,109554,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05127,11241,0.74,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05129,8077,0.52,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05131,127067,0.56,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,05133,17219,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05139,41404,1.81,>1.10
Neuroinvasive disease cases,1999-2022,05143,208088,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05145,78087,0.27,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,05149,21965,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06001,1530893,0.02,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06005,37539,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06007,219983,1.95,>1.10
Neuroinvasive disease cases,1999-2022,06009,45159,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06011,21315,0.98,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06013,1065361,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06017,180963,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06019,939251,0.76,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06021,28131,3.85,>1.10
Neuroinvasive disease cases,1999-2022,06023,135257,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06025,175731,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06027,18385,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06029,848651,1.24,>1.10
Neuroinvasive disease cases,1999-2022,06031,151779,0.82,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06033,64258,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06035,34235,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06037,9873700,0.65,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06039,151685,1.13,>1.10
Neuroinvasive disease cases,1999-2022,06041,255380,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06045,87335,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06047,259249,0.90,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06049,9513,0.88,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06051,14424,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06053,420379,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06055,137668,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06057,98716,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06059,3050199,0.68,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06061,356323,0.62,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06063,19720,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06065,2233840,0.69,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06067,1433712,0.49,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06071,2060596,0.56,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06073,3137236,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06075,815694,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06077,694265,0.57,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06079,271056,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06081,728945,0.02,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06083,425404,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06085,1811891,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06087,264927,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06089,177613,0.52,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06093,44622,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06095,416325,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,06097,487231,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06099,517515,1.67,>1.10
Neuroinvasive disease cases,1999-2022,06101,94466,1.10,>1.10
Neuroinvasive disease cases,1999-2022,06103,63337,1.71,>1.10
Neuroinvasive disease cases,1999-2022,06107,446709,1.48,>1.10
Neuroinvasive disease cases,1999-2022,06109,54808,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06111,829908,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,06113,201931,1.01,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,06115,72480,1.72,>1.10
Neuroinvasive disease cases,1999-2022,08001,452209,1.52,>1.10
